水前寺菜,すいぜんじな
酒,さけ
具,ぐ
丼,どん
りょくしょくしゅ,緑色種
かんそうらんぱく,乾燥卵白
せいはくりゅう,精白粒
ぜんりゅうふん,全粒粉
ふんまつじょう,粉末状
ぺーすとじょう,ペースト状
はつがげんまい,発芽玄米
どうみょうじこ,道明寺粉
おうしょくしゅ,黄色種
はくしょくしゅ,白色種
じょうはくとう,上白糖
ちょうみりょう,調味漬
にゅうせいひん,乳製品
こめつぶむぎ,米粒麦
ちゅうりきこ,中力粉
きょうりきこ,強力粉
おこのみやき,お好み焼き
せいはくまい,精白米
じょうしんこ,上新粉
ちゅうそうこ,中層粉
ひょうそうこ,表層粉
さんおんとう,三温糖
ふくじんづけ,福神漬
ぎゅうにゅう,牛乳
だっしにゅう,脱脂乳
かこうにゅう,加工乳
あまなっとう,甘納豆
げんまいちゃ,玄米茶
せいせいえん,精製塩
ばるさみこす,バルサミコ酢
りょうりしゅ,料理酒
はっぽうさい,八宝菜
はくりきこ,薄力粉
あぶらあげ,油揚げ
つぶじょう,粒状
うるちまい,うるち米
げんまいこ,玄米粉
しらたまこ,白玉粉
ぜんそうこ,全層粉
ないそうこ,内層粉
きゅうけい,球茎
みどりまめ,緑豆
くろざとう,黒砂糖
わさんぼん,和三盆
けっしょう,結晶
ちゅうごく,中国
あぶらぬき,油抜き
とうにゅう,豆乳
ちょうせい,調製
いんりょう,飲料
のうしゅく,濃縮
せいじゅく,成熟
らっかせい,落花生
かこうひん,加工品
ねぶかねぎ,根深ねぎ
さとうづけ,砂糖漬
かんじゅく,完熟
みずもどし,水戻し
ようしょく,養殖
なまりぶし,なまり節
はだかぶし,裸節
かつおぶし,かつお節
けづりぶし,削り節
あぶらづけ,油漬
かいばしら,貝柱
たいしょう,大正
ぎゅうにく,牛肉
ていしぼう,低脂肪
れんにゅう,練乳
めんじつゆ,綿実油
しょくえん,食塩
きびだんご,きび団子
りょくちゃ,緑茶
ほうじちゃ,ほうじ茶
こくもつす,穀物酢
こんぶだし,昆布だし
ぎょしょう,魚醤油
おちゃづけ,お茶漬け
ちくぜんに,筑前煮
しょくひん,食品
げんこく,玄穀
おおむぎ,大麦
おしむぎ,押麦
こくさん,国産
ゆにゅう,輸入
なんしつ,軟質
こうしつ,硬質
こむぎこ,小麦粉
てんぷら,天ぷら
かくがた,角形
かんぱん,乾パン
ちゅうか,中華
おきなわ,沖縄
そくせき,即席
あじつけ,味付け
ちょうり,調理
しおあじ,塩味
しょうゆ,醤油
はるまき,春巻き
はんなま,半生
かんそう,乾燥
れいめん,冷めん
げんまい,玄米
はんつき,半つき
もちごめ,もち米
せきまい,赤米
こくまい,黒米
すいとう,水稲
せきはん,赤飯
しらたま,白玉
かいこん,塊根
かいけい,塊茎
せいふん,精粉
きりぼし,切干
れいとう,冷凍
ふんとう,粉糖
えきとう,液糖
ふくすい,含水
こくとう,果糖
くろみつ,黒蜜
かんづめ,缶詰
あめりか,米国
なまあげ,生揚げ
なっとう,納豆
いとひき,糸引き
ひきわり,挽きわり
えんぶん,塩分
ゆもどし,湯戻し
みじゅく,未熟
しおづけ,塩漬
つけもの,漬物
せいよう,西洋
ならづけ,奈良漬
だいこん,大根
きりぼし,切干し
しおおし,塩押し
えんぞう,塩蔵
りんけい,りん茎
ようしゅ,洋種
なんぱく,軟白
なつどり,夏採り
ふゆどり,冬採り
すいこう,水耕
かじゅう,果汁
うめぼし,梅干し
おんしつ,温室
げんぼく,原木
むしぼし,蒸し干し
つくだに,つくだ煮
かんてん,寒天
はいぼし,灰干し
ゆどうし,湯通し
ほねつき,骨付き
からあげ,から揚げ
てんねん,天然
ないぞう,内臓
まるぼし,丸干し
たづくり,田作り
なまぼし,生干し
かまあげ,釜揚げ
しらやき,白焼き
はるどり,春獲り
あきどり,秋獲り
しおから,塩辛
あぶらみ,脂身
こぶまき,昆布巻き
ちくりん,竹輪
だてまき,だて巻
ぎょにく,魚肉
わぎゅう,和牛
とんそく,豚足
なんこつ,軟骨
やきぶた,焼き豚
にわとり,鶏
やきとり,焼き鳥
ぜんらん,全卵
けいらん,鶏卵
らんおう,卵黄
らんぱく,卵白
あつやき,厚焼き
のうこう,濃厚
にゅうじ,乳児
どうぶつ,動物
ぎゅうし,牛脂
はっこう,発酵
ゆうえん,有塩
かんさい,関西
かんとう,関東
だいふく,大福
こんごう,混合
にくまん,肉まん
あまから,甘辛
まつかぜ,松風
やつはし,八つ橋
あげぱん,揚げパン
ふうせん,風船
ぎょくろ,玉露
まっちゃ,抹茶
ばんちゃ,番茶
こうちゃ,紅茶
あおじる,青汁
あまざけ,甘酒
こぶちゃ,昆布茶
たんさん,炭酸
むぎちゃ,麦茶
げんえん,減塩
ていえん,低塩
かじつす,果実酢
みずだし,水出し
とりがら,鶏がら
ようふう,洋風
かりゅう,顆粒
ふんまつ,粉末
りょうり,料理
こうはく,紅白
うのはな,卯の花
きりぼし,切り干し
なんばん,南蛮
まつまえ,松前
てんしん,点心
かんこく,韓国
こむぎ,小麦
ふつう,普通
しょく,食
わふう,和風
あぶら,油
ぱんこ,パン粉
しちぶ,七分
こめこ,米粉
そばこ,そば粉
みずに,水煮
でんこ,でん粉
とうふ,豆腐
かこう,加工
こおり,氷
こうそ,酵素
とうか,糖化
むすい,無水
かとう,果糖
あずき,小豆
だいず,大豆
きなこ,きな粉
さとう,砂糖
もめん,木綿
あまに,甘煮
こおり,凍り
ぶんり,分離
せんい,繊維
むえん,無塩
にほん,日本
かじつ,果実
からし,辛子
かじょ,花序
わかな,若芽
わかな,若葉
すづけ,酢漬
ほうし,胞子
すあげ,素揚げ
きにら,黄にら
かすい,花穂
どこう,土耕
あまず,甘酢
やさい,野菜
かにく,果肉
むとう,無糖
すぼし,素干し
こんぶ,昆布
きざみ,刻み
けずり,削り
さかな,魚
こがた,小型
にぼし,煮干し
すりみ,すり身
かくに,角煮
さくら,桜
あかみ,赤身
みなみ,南
くるま,車
ふうみ,風味
たまご,卵
せいか,製菓
いそべ,磯部
なんぶ,南部
くろず,黒酢
こめず,米酢
にだし,煮出し
こけい,固形
きみず,黄身酢
ごまず,ごま酢
すしず,すし酢
いなり,稲荷
ひやし,冷やし
こうぼ,酵母
おやこ,親子
にもの,煮物
しろみ,白身
なるい,菜類
すぶた,酢豚
めし,飯
とう,等
よう,用
あげ,揚げ
やき,焼き
みみ,耳
なま,生
ほし,干し
ひや,冷や
むし,蒸し
かま,釜
いた,板
かわ,皮
きじ,生地
こめ,米
ごぶ,五分
きく,菊
いも,芋
みつ,蜜
とう,糖
ねり,練り
なみ,並
まめ,豆
しお,塩
さん,産
くろ,黒
きぬ,絹
ゆば,湯葉
あま,甘
まつ,松
わか,若
くき,茎
はな,花
びん,瓶
しる,汁
しん,新
しろ,白
ぬき,抜き
あか,赤
あお,青
きり,切り
いと,糸
にく,肉
いり,入り
うめ,梅
なつ,夏
うみ,海
きも,肝
かい,貝
みず,水
つぶ,粒
ぶた,豚
うし,牛
ひき,挽き
した,舌
てば,手羽
むね,胸
もと,元
ゆし,油脂
ささ,笹
むぎ,麦
ほん,本
かん,缶
もと,素
すし,寿司
ふう,風
えき,液
さけ,酒
どん,丼
づけ,漬け
に,煮
ね,根
め,芽
き,黄
す,酢
ぐ,具
